,ORI,DSN,STOP_DATE,SEQ_NO,REF_NO,EVENT_NO,SEX,RACE,AGE_CODE,GEO,STOP_LOCATION,VIOL_MOVING,VIOL_EQUIPMENT,VIOL_LICENSE,MOVING_SPEED,MOVING_LANE,MOVING_TAIL,MOVING_CMV,MOVING_SIGNAL,MOVING_OTHER,WARN_CITA_ISSUED,STOP_WARNING,STOP_CITATION,SEARCH_CONDUCT,DURATION_OF_SEARCH,CAUSE_CONSENT,CAUSE_DRG_ODOR,CAUSE_DOG_ALERT,CAUSE_PLN_VIEW,CAUSE_OFF_SFTY,CAUSE_INVNTRY,CAUSE_OTHER,CAUSE_INC_TO_ARR,SEARCHED_PERSON,SEARCHED_PROPERTY,CNTR_DISCOVERED,CNTR_DRUG_PAR,CNTR_CURRENCY,CNTR_WEAPON,CNTR_STLN_PROP,CNTR_OTHER,SEARCH_ARREST,CHRG_WAR_WAN,CHRG_DRUG_VIOL,CHRG_RESIST_ARR,CHRG_OFF_PERSON,CHRG_PROP_CRIME,CHRG_OTHER,CHRG_DWI,ENTER_DATE,ENTER_TIME,ENTER_ACID,LAST_UPDATE_DATE,LAST_UPDATE_TIME,LAST_UPDATE_ACID,SECOND_DSN,TIME_OF_STOP,RACE_BEFORE_STOP,RES_JURISDICTION,STOP_NO_ACTION,SEARCH_BOTH,CHRG_TRAFF_VIOL,VIOL_INVESTIGATIVE,STOP_OTHER,STATUS_CODE
47,MO0957300,490,2016-01-03 00:00:00,1,TA00002475,,F,W,D,,N,M,,,S,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.56.20,#EETJR1,,,,,1900-01-01 17:25:00,N,N,,,,,,FIN
48,MO0957300,490,2016-01-03 00:00:00,2,TA00002476,,M,B,D,,N,M,,,S,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.57.08,#EETJR1,,,,,1900-01-01 15:25:00,N,N,,,,,,FIN
49,MO0957300,504,2016-01-03 00:00:00,0,TA00002528,,M,B,B,,C,M,,,,,,,,O,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.50.32,#EETJR1,,,,,1900-01-01 09:28:00,N,Y,,,,,,FIN
50,MO0957300,504,2016-01-03 00:00:00,1,TA00002529,,F,B,D,,C,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.51.09,#EETJR1,,,,,1900-01-01 08:55:00,N,Y,,,,,,FIN
51,MO0957300,504,2016-01-03 00:00:00,2,TA00002530,,M,W,B,,C,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.51.41,#EETJR1,,,,,1900-01-01 08:25:00,Y,Y,,,,,,FIN
52,MO0957300,504,2016-01-03 00:00:00,3,TA00002531,,M,B,B,,C,M,,,S,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.52.15,#EETJR1,,,,,1900-01-01 15:00:00,Y,Y,N,,,,,FIN
53,MO0957300,504,2016-01-03 00:00:00,4,TA00002532,,F,U,D,,C,M,,,,,,,,O,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.53.12,#EETJR1,,,,,1900-01-01 07:50:00,Y,N,,,,,,FIN
54,MO0957300,512,2016-01-03 00:00:00,0,TA00002603,,M,W,B,,N,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.53.45,#EETJR1,,,,,1900-01-01 15:30:00,N,N,,,,,,FIN
55,MO0957300,512,2016-01-03 00:00:00,1,TA00002604,,M,B,D,,N,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.54.40,#EETJR1,,,,,1900-01-01 18:00:00,N,N,,,,,,FIN
56,MO0957300,512,2016-01-03 00:00:00,2,TA00002605,,M,U,C,,N,M,,,S,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.57.37,#EETJR1,,,,,1900-01-01 15:00:00,N,Y,,,,,,FIN
57,MO0957300,514,2016-01-03 00:00:00,0,TA00002607,,M,B,D,,C,,E,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.29.28,#EETJR1,,,,,1900-01-01 05:30:00,N,Y,N,,,,,FIN
58,MO0957300,514,2016-01-03 00:00:00,1,TA00002608,,M,W,D,,N,,E,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/4/2016,23.58.41,#EETJR1,,,,,1900-01-01 19:50:00,N,Y,N,,,,,FIN
59,MO0957300,434,2016-01-04 00:00:00,0,TA00002732,,M,B,B,,N,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.31.08,#GRALR1,,,,,1900-01-01 11:09:00,N,N,,,,,,FIN
60,MO0957300,456,2016-01-04 00:00:00,0,TA00002845,,F,B,B,,N,,E,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.42.24,#GRALR1,,,,,1900-01-01 21:40:00,N,N,,,,,,FIN
61,MO0957300,493,2016-01-04 00:00:00,0,TA00002846,,F,B,D,,C,,E,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/5/2016,00.52.16,#EETJR1,,,,,1900-01-01 06:00:00,N,N,,,,,,FIN
62,MO0957300,495,2016-01-04 00:00:00,0,TA00002859,,F,B,C,,C,,E,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.46.45,#GRALR1,,,,,1900-01-01 08:30:00,N,N,,,,,,FIN
63,MO0957300,399,2016-01-04 00:00:00,0,TA00002942,,F,W,C,,N,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.31.50,#GRALR1,,,,,1900-01-01 08:58:00,N,N,,,,,,FIN
64,MO0957300,399,2016-01-04 00:00:00,1,TA00002943,,M,B,C,,N,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.32.37,#GRALR1,,,,,1900-01-01 09:30:00,N,N,,,,,,FIN
65,MO0957300,477,2016-01-04 00:00:00,0,TA00002975,,M,B,C,,S,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.29.27,#GRALR1,,,,,1900-01-01 14:30:00,N,N,,,,,,FIN
66,MO0957300,477,2016-01-04 00:00:00,1,TA00002976,,F,B,C,,S,M,,,S,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.30.20,#GRALR1,,,,,1900-01-01 14:10:00,N,N,,,,,,FIN
67,MO0957300,509,2016-01-04 00:00:00,0,TA00003011,,F,W,B,,C,M,,,,,,,,O,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.41.25,#GRALR1,,,,,1900-01-01 19:35:00,N,N,,,,,,FIN
68,MO0957300,21507,2016-01-04 00:00:00,0,TA00003223,,M,B,B,,C,,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.44.46,#GRALR1,,,,,1900-01-01 22:45:00,Y,N,N,,,I,,FIN
69,MO0957300,426,2016-01-04 00:00:00,0,TA00003231,,M,B,B,,N,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.38.54,#GRALR1,,,,,1900-01-01 11:30:00,N,Y,,,,,,FIN
70,MO0957300,426,2016-01-04 00:00:00,1,TA00003232,,M,B,C,,N,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.39.51,#GRALR1,,,,,1900-01-01 11:08:00,N,Y,,,,,,FIN
71,MO0957300,503,2016-01-04 00:00:00,0,TA00003352,,F,B,D,,S,,,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.33.50,#GRALR1,,,,,1900-01-01 13:20:00,Y,N,,,,,,FIN
72,MO0957300,503,2016-01-04 00:00:00,1,TA00003353,,F,B,D,,C,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.34.57,#GRALR1,,,,,1900-01-01 11:30:00,N,N,,,,,,FIN
73,MO0957300,503,2016-01-04 00:00:00,2,TA00003354,,F,W,C,,C,M,,,,,,,,O,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.37.22,#GRALR1,,,,,1900-01-01 08:00:00,N,Y,,,,,,FIN
74,MO0957300,511,2016-01-04 00:00:00,0,TA00003458,,M,B,B,,N,M,,,,,,,,O,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.43.05,#GRALR1,,,,,1900-01-01 23:03:00,N,N,,,,,,FIN
75,MO0957300,513,2016-01-04 00:00:00,0,TA00003644,,F,W,D,,C,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.40.34,#GRALR1,,,,,1900-01-01 07:30:00,N,N,,,,,,FIN
76,MO0957300,515,2016-01-05 00:00:00,0,TA00003772,,M,A,B,,N,,E,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,04.00.50,#CRELW1,,,,,1900-01-01 19:50:00,N,Y,,,,,,FIN
77,MO0957300,494,2016-01-05 00:00:00,0,TA00003963,,M,W,D,,S,,,,,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,05.43.58,#GRALR1,,,,,1900-01-01 06:05:00,N,Y,,,,,,FIN
78,MO0957300,399,2016-01-05 00:00:00,0,TA00004104,,F,B,D,,N,M,,,S,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,04.21.56,#CRELW1,,,,,1900-01-01 09:45:00,N,Y,,,,,,FIN
79,MO0957300,399,2016-01-05 00:00:00,1,TA00004105,,F,W,B,,N,M,,,S,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,04.22.53,#CRELW1,,,,,1900-01-01 13:56:00,N,N,,,,,,FIN
80,MO0957300,507,2016-01-05 00:00:00,0,TA00004155,,F,B,B,,S,M,,,,,,,,O,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,04.26.52,#CRELW1,,,,,1900-01-01 11:05:00,N,N,,,,,,FIN
81,MO0957300,509,2016-01-05 00:00:00,0,TA00004200,,M,B,B,,N,,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,03.59.16,#CRELW1,,,,,1900-01-01 20:20:00,N,N,N,,,,,FIN
82,MO0957300,509,2016-01-05 00:00:00,1,TA00004201,,F,B,B,,C,M,,,S,,,,,,Y,W,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,04.00.01,#CRELW1,,,,,1900-01-01 20:33:00,N,Y,,,,,,FIN
83,MO0957300,509,2016-01-05 00:00:00,2,TA00004202,,F,W,B,,N,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,04.01.28,#CRELW1,,,,,1900-01-01 21:40:00,N,N,,,,,,FIN
84,MO0957300,509,2016-01-05 00:00:00,3,TA00004203,,F,A,B,,C,,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,04.02.45,#CRELW1,,,,,1900-01-01 19:45:00,N,Y,N,,,I,,FIN
85,MO0957300,426,2016-01-05 00:00:00,0,TA00004489,,M,B,D,,N,M,,,,,,,,O,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,04.06.39,#CRELW1,,,,,1900-01-01 14:05:00,N,N,,,,,,FIN
86,MO0957300,426,2016-01-05 00:00:00,1,TA00004490,,F,W,D,,N,,,,,,,,,,Y,,C,N,,,,,,,,,,,,,,,,,,N,,,,,,,,1/8/2016,04.25.29,#CRELW1,,,,,1900-01-01 11:03:00,N,Y,,,,,,FIN
