ORI, DSN, STOP_DATE, TIME_OF_STOP, SEQ_NO, REF_NO, EVENT_NO, RACE_BEFORE_STOP, RES_JURISDICTION, SEX, RACE, AGE_CODE, GEO, NLCCODE, STOP_LOCATION, VIOL_INVESTIGATIVE, VIOL_EQUIPMENT, VIOL_LICENSE, VIOL_MOVING, MOVING_SPEED, MOVING_LANE, MOVING_TAIL, MOVING_CMV, MOVINGHAZEQUIPIND, MOVING_SIGNAL, MOVING_OTHER, WARN_CITA_ISSUED, STOP_WARNING, STOP_CITATION, STOP_NO_ACTION, STOP_OTHER, STOPARRESTIND, SEARCH_CONDUCT, SEARCH_BOTH, SEARCHED_PERSON, SEARCHED_PROPERTY, DURATION_OF_SEARCH, CAUSE_CONSENT, CAUSE_DRG_ODOR, CAUSE_DOG_ALERT, CAUSE_PLN_VIEW, CAUSE_OFF_SFTY, CAUSE_INVNTRY, CAUSE_OTHER, CAUSE_INC_TO_ARR, CNTR_DISCOVERED, CNTR_DRUG_PAR, CNTR_CURRENCY, CNTR_WEAPON, CNTR_STLN_PROP, CNTR_OTHER, SEARCH_ARREST, CHRG_WAR_WAN, CHRG_TRAFF_VIOL, CHRG_DRUG_VIOL, CHRG_RESIST_ARR, CHRG_OFF_PERSON, CHRG_PROP_CRIME, CHRG_OTHER, CHRG_DWI, DELETE_FLAG, ENTER_DATE, ENTER_TIME, ENTER_ACID, LAST_UPDATE_DATE, LAST_UPDATE_TIME, LAST_UPDATE_ACID, LAST_UPDATE_ACTION, DISTRICT, SECOND_DSN, STATUS_CODE,,,,,,,,,,,,,,,,,,,,
MO0957300,535,1/3/2018,1320,2,TA00805098,,N,Y,M,B,B,,,N,,E,,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,10.36.00,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,409,1/4/2018,800,0,TA00805387,,N,Y,M,B,B,,,C,,,L,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.07.40,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,419,1/4/2018,1737,0,TA00805443,,N,N,M,I,C,,,C,,,,M,,,,,,,O,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.00.27,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,497,1/4/2018,709,0,TA00806018,,N,N,F,B,C,,,C,,E,,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.10.15,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,520,1/4/2018,30,0,TA00806058,,Y,N,F,I,C,,,S,,,,M,,,,,,,O,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.08.12,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,504,1/4/2018,729,0,TA00806135,,N,Y,M,B,C,,,C,,,L,,,,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.10.42,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,504,1/4/2018,1600,1,TA00806136,,N,Y,F,B,D,,,C,,,,M,,I,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.11.35,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,527,1/4/2018,2105,0,TA00806207,,N,N,M,B,C,,,N,,,,M,,I,,,,,,N,,,N,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.01.24,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,529,1/4/2018,1810,0,TA00806239,,N,N,F,W,B,,,N,,,L,,,,,,,,,Y,,C,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.08.36,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
MO0957300,529,1/4/2018,1112,1,TA00806240,,N,N,F,B,D,,,N,,,L,,,,,,,,,Y,W,,,,,N,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,1/7/2018,11.09.43,#YONAF1,,,,,,,FIN,,,,,,,,,,,,,,,,,,,,
