ORI, DSN, STOP_DATE, SEQ_NO, REF_NO, EVENT_NO, SEX, RACE, AGE_CODE, GEO, NLCCODE, STOP_LOCATION, VIOL_MOVING, VIOL_EQUIPMENT, VIOL_LICENSE, MOVING_SPEED, MOVING_LANE, MOVING_TAIL, MOVING_CMV, MOVINGHAZEQUIPIND, MOVING_SIGNAL, MOVING_OTHER, WARN_CITA_ISSUED, STOP_WARNING, STOP_CITATION, STOPARRESTIND, SEARCH_CONDUCT, DURATION_OF_SEARCH, CAUSE_CONSENT, CAUSE_DRG_ODOR, CAUSE_DOG_ALERT, CAUSE_PLN_VIEW, CAUSE_OFF_SFTY, CAUSE_INVNTRY, CAUSE_OTHER, CAUSE_INC_TO_ARR, SEARCHED_PERSON, SEARCHED_PROPERTY, CNTR_DISCOVERED, CNTR_DRUG_PAR, CNTR_CURRENCY, CNTR_WEAPON, CNTR_STLN_PROP, CNTR_OTHER, SEARCH_ARREST, CHRG_WAR_WAN, CHRG_DRUG_VIOL, CHRG_RESIST_ARR, CHRG_OFF_PERSON, CHRG_PROP_CRIME, CHRG_OTHER, CHRG_DWI, DELETE_FLAG, ENTER_DATE, ENTER_TIME, ENTER_ACID, LAST_UPDATE_DATE, LAST_UPDATE_TIME, LAST_UPDATE_ACID, LAST_UPDATE_ACTION, DISTRICT, SECOND_DSN, TIME_OF_STOP, RACE_BEFORE_STOP, RES_JURISDICTION, STOP_NO_ACTION, SEARCH_BOTH, CHRG_TRAFF_VIOL, VIOL_INVESTIGATIVE, STOP_OTHER, STATUS_CODE
MO0957300,522,7/7/2017,3,TA00613900,,M,B,D,,,S,,,,,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.41.24,#MCIRM1,,,,,,,2100,N,N,,,,,,FIN
MO0957300,514,7/8/2017,0,TA00613951,,M,B,B,,,N,M,,,,I,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.40.22,#LIDSC1,,,,,,,1550,N,N,,,,,,FIN
MO0957300,515,7/8/2017,0,TA00614061,,F,B,D,,,S,,,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.23.47,#LIDSC1,,,,,,,1905,N,N,,,,,,FIN
MO0957300,517,7/8/2017,0,TA00614101,,F,B,C,,,C,M,,,S,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/11/2017,05.01.58,#GRALR1,,,,,,,1950,N,N,,,,,,FIN
MO0957300,517,7/8/2017,1,TA00614102,,M,W,B,,,C,M,,,,,,,,,O,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.41.11,#LIDSC1,,,,,,,200,N,N,,,,,,FIN
MO0957300,517,7/8/2017,2,TA00614103,,M,W,C,,,C,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.42.27,#LIDSC1,,,,,,,53,N,N,,,,I,O,FIN
MO0957300,517,7/8/2017,3,TA00614104,,F,B,B,,,C,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/14/2017,00.23.46,#MCIRM1,,,,,,,2243,N,N,,,,,,FIN
MO0957300,529,7/8/2017,0,TA00614256,,F,W,D,,,N,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.37.20,#LIDSC1,,,,,,,827,N,N,,,,,,FIN
MO0957300,533,7/8/2017,0,TA00614284,,M,W,D,,,C,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.49.05,#LIDSC1,,,,,,,2355,Y,Y,N,,,I,,FIN
MO0957300,571,7/8/2017,0,TA00614332,,F,B,D,,,N,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.34.22,#LIDSC1,,,,,,,1030,N,N,,,,,,FIN
MO0957300,509,7/8/2017,0,TA00614490,,F,W,D,,,N,M,,,,I,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/11/2017,05.03.55,#GRALR1,,,,,,,2150,N,Y,N,,,I,,FIN
MO0957300,509,7/8/2017,1,TA00614491,,M,B,B,,,N,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/11/2017,05.05.59,#GRALR1,,,,,,,2230,N,Y,N,,,I,,FIN
MO0957300,503,7/8/2017,0,TA00614588,,M,B,B,,,C,M,,,,,,,,,O,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.32.34,#LIDSC1,,,,,,,1345,N,N,,,,,,FIN
MO0957300,518,7/8/2017,0,TA00614680,,F,B,B,,,N,,E,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.27.50,#LIDSC1,,,,,,,1400,N,N,,,,I,,FIN
MO0957300,518,7/8/2017,1,TA00614681,,F,B,D,,,S,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.29.00,#LIDSC1,,,,,,,1040,N,N,,,,I,O,FIN
MO0957300,518,7/8/2017,2,TA00614682,,M,B,B,,,N,M,E,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.29.45,#LIDSC1,,,,,,,1500,N,N,,,,,,FIN
MO0957300,518,7/8/2017,3,TA00614683,,F,B,B,,,C,M,E,,,,,,,,O,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.30.51,#LIDSC1,,,,,,,1805,N,N,,,,I,,FIN
MO0957300,511,7/8/2017,0,TA00614707,,F,B,C,,,N,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.33.39,#LIDSC1,,,,,,,743,N,N,,,,,,FIN
MO0957300,519,7/8/2017,0,TA00614754,,F,B,D,,,C,M,,,S,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.35.11,#LIDSC1,,,,,,,1710,N,N,,,,,,FIN
MO0957300,519,7/8/2017,1,TA00614755,,M,B,B,,,C,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.36.12,#LIDSC1,,,,,,,825,Y,N,,,,I,O,FIN
MO0957300,491,7/8/2017,0,TA00614800,,F,B,D,,,N,M,,,S,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.26.58,#LIDSC1,,,,,,,55,N,N,,,,,,FIN
MO0957300,514,7/9/2017,0,TA00614886,,F,B,B,,,N,,,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,03.59.02,#MCIRM1,,,,,,,1820,Y,N,,,,,,FIN
MO0957300,358,7/9/2017,0,TA00615038,,M,B,B,,,O,M,,,,,,,,,O,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.02.10,#MCIRM1,,,,,,,2145,N,N,,,,,,FIN
MO0957300,509,7/9/2017,0,TA00615322,,M,B,C,,,C,,,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/11/2017,05.07.49,#GRALR1,,,,,,,430,Y,Y,N,,,I,,FIN
MO0957300,509,7/9/2017,1,TA00615323,,M,B,C,,,N,,,,,,,,,,,N,,,,Y,A,,,,,,,O,,,,,,,,,,N,,,,,,,,,7/12/2017,05.22.59,#LIDSC1,,,,,,,451,N,Y,N,B,,I,,FIN
MO0957300,503,7/9/2017,0,TA00615413,,F,W,B,,,C,M,,,,I,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.50.00,#LIDSC1,,,,,,,1500,N,N,,,,,,FIN
MO0957300,503,7/9/2017,1,TA00615414,,M,B,C,,,C,,,,,,,,,,,Y,W,,,Y,A,C,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.51.13,#LIDSC1,,,,,,,1445,N,Y,,B,,I,,FIN
MO0957300,503,7/9/2017,2,TA00615415,,F,B,B,,,C,,,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,03.29.25,#MCIRM1,,,,,,,1400,N,N,,,,I,,FIN
MO0957300,503,7/9/2017,3,TA00615416,,M,B,B,,,C,,E,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,03.30.02,#MCIRM1,,,,,,,1150,N,N,,,,,,FIN
MO0957300,503,7/9/2017,4,TA00615417,,F,U,B,,,C,M,,,,I,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,03.30.37,#MCIRM1,,,,,,,2359,N,Y,,,,,,FIN
MO0957300,485,7/9/2017,0,TA00615446,,F,W,C,,,C,,,,,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.00.52,#MCIRM1,,,,,,,1855,N,Y,,,,,,FIN
MO0957300,485,7/9/2017,1,TA00615447,,M,B,C,,,C,,,,,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,04.01.26,#MCIRM1,,,,,,,2220,N,Y,,,,,,FIN
MO0957300,518,7/9/2017,0,TA00615473,,M,B,C,,,S,,E,,,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,03.59.29,#MCIRM1,,,,,,,1000,N,N,,,,,,FIN
MO0957300,511,7/9/2017,0,TA00615489,,M,B,D,,,N,,E,,,,,,,,,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,03.31.15,#MCIRM1,,,,,,,835,N,Y,N,,,I,,FIN
MO0957300,491,7/9/2017,0,TA00615530,,M,B,B,,,N,M,,,S,,,,,,,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/13/2017,03.32.19,#MCIRM1,,,,,,,1630,N,N,,,,,,FIN
MO0957300,491,7/9/2017,1,TA00615531,,F,W,B,,,N,M,,,,,,,,,O,Y,W,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/14/2017,00.25.04,#MCIRM1,,,,,,,1754,Y,N,,,,,,FIN
MO0957300,525,7/10/2017,0,TA00615771,,F,B,B,,,N,,E,,,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.19.53,#LIDSC1,,,,,,,1044,N,Y,,,,,,FIN
MO0957300,515,7/10/2017,0,TA00615846,,M,B,C,,,S,,,,,,,,,,,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.25.35,#LIDSC1,,,,,,,40,N,N,,,,,,FIN
MO0957300,504,7/10/2017,0,TA00615880,,M,W,D,,,C,M,,,,,,,,,O,N,,,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,04.22.26,#LIDSC1,,,,,,,1013,Y,Y,N,,,,,FIN
MO0957300,504,7/10/2017,1,TA00615881,,M,W,C,,,C,M,,,,,,,,,O,Y,,C,,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,7/12/2017,05.17.12,#LIDSC1,,,,,,,1140,Y,N,,,,,,FIN
